Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
JLAKCHGEEBPDQI-UHFFFAOYNA-N,CHEMBL144527,23621,N,3.29,chembl20,428440,9606,BACE1,7740,FC=1C=CC(CC2CCNCC2)=CC1
FEMOMIGRRWSMCU-UHFFFAOYNA-N,CHEMBL1221925,23621,N,3.11,chembl20,651539,9606,BACE1,7740,C1=CC=C2C(C(C(C2=C1)=O)(O)O)=O
AJLZWUZGPRPJLO-HPXYYLAHNA-N,CHEMBL2011271,23621,N,3.52,chembl20,811060,9606,BACE1,7740,C1=CC(F)=C(CSC(=N)N)C(Cl)=C1
DDMDGWLZYYJYNR-UHFFFAOYNA-N,CHEMBL1221923,23621,N,3.06,chembl20,651539,9606,BACE1,7740,C1=NC2=NC=C(N2C=C1)C3=CC=CC(=C3)Cl
GUXIYQWCRMHBNY-UHFFFAOYNA-N,CHEMBL1221924,23621,N,3.0,chembl20,651539,9606,BACE1,7740,C1=NC2=NC=C(N2C=C1)C=3C=CN=CC3
DOCCSEDGBYCYLS-UHFFFAOYNA-N,CHEMBL404150,23621,N,3.66,chembl20,466180,9606,BACE1,7740,C=1(C=CC(CCN)=CC1C2CCCCC2)O
JWVYQQGERKEAHW-UHFFFAOYNA-N,CHEMBL1192,23621,N,2.99,chembl20,795223,9606,BACE1,7740,O1C=CC=2C1=C(C3=C(C2)C=CC(O3)=O)O
MUKAGFLFIMVSQN-DLGLGFIGNA-N,CHEMBL435747,23621,N,3.51,chembl20,428441,9606,BACE1,7740,NC=1N=CC=CC1NCC=2C=CC=CC2
NSMVCZCLMLZSOB-GAJRPKRDNA-N,CHEMBL1221922,23621,N,3.11,chembl20,651539,9606,BACE1,7740,C1(=CC=C2C(=C1)N=C(N2CCCO)N)Cl
LOZTXHYIOMVECK-UHFFFAOYNA-N,CHEMBL272576,23621,N,3.46,chembl20,466180,9606,BACE1,7740,C=1C(=CC(=C(O)C1)C=2C=CC=CC2)CCN
BHVZMOQDUOPYBI-ZHLVXTBQNA-N,CHEMBL1821807,23621,N,3.53,chembl20,765826,9606,BACE1,7740,N1=C(C=CC=2C=C(C=CC12)C3CCCCC3)N
CIDYIYSNDAJNGX-UHFFFAOYNA-N,296675,23621,A,5.03012,pubchem,591286,9606,BACE1,7740,O=C1C=2C(C(=O)C=C1C3=CC=CC=C3)=CC=CC2
CJGRNSIXWOGIIC-DXMPFREMNA-N,CHEMBL238087,23621,N,3.85,chembl20,451976,9606,BACE1,7740,N1C(=NC(C)(C2=CC=CC=C2)CC1=O)N
BQJGLOZHUBCXSY-UHFFFAOYNA-N,CHEMBL237888,23621,N,3.82,chembl20,451979,9606,BACE1,7740,N1(C(CC(CCC2=CC=CC=C2)=NC1=N)=O)C
BENJIQGGVQKYHO-UHFFFAOYNA-N,CHEMBL428070,23621,N,4.22,chembl20,466180,9606,BACE1,7740,C=1C(=CC(=C(O)C1)C=2C=CC(=CC2)C)CCN
AVZBIBUNRUCCQS-UHFFFAOYNA-N,CHEMBL1221921,23621,N,3.03,chembl20,651539,9606,BACE1,7740,C1=CC=2N(C(=NC2N=C1)C=3C=CC=CC3)OC
DZEPISXWRUMGFN-UHFFFAOYNA-N,CHEMBL1934068,23621,N,3.01,chembl20,795223,9606,BACE1,7740,C=1(C2=C(C(=C3C1OC(C=C3)=O)O)C=CO2)O
FQSHLSLQUHZOMV-OFFZCMJMNA-N,CHEMBL2181988,23621,N,2.96,chembl20,874329,9606,BACE1,7740,N1C([C@@]2(C3=CC=CC=C13)CNCC2)=O
FIDUIAPDSKSUGO-UHFFFAOYNA-N,CHEMBL502689,23621,N,3.38,chembl20,795222,9606,BACE1,7740,C=1(CC=C(C)C)C(O)=CC=2OC(C=CC2C1)=O
CNBSPUGFNQVSJS-JLOFHYGUNA-N,CHEMBL235821,23621,N,3.18,chembl20,451971,9606,BACE1,7740,N1=C(N=C(C=C1O)CCC2=CC=CC=C2)N
MBRLOUHOWLUMFF-UHFFFAOYNA-N,CHEMBL52229,23621,N,3.11,chembl20,795223,9606,BACE1,7740,C=1C=C2C=CC(=O)OC2=C(C1OC)CC=C(C)C
JLGLPAHFIFVDIC-FBOWRDLNNA-N,CHEMBL2396987,23621,N,4.66,chembl20,1351635,9606,BACE1,7740,[C@@]1(C2=CC=CC=C2)(N=C(SCC1)N)C
