Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES
IAMIFCZOYVOTFD-HVXXBKQBNA-N,CHEMBL589163,1509,N,3.69,chembl20,603780,9606,CTSD,998,C=1(N)N(C)C(C(C2CCCCC2)(N1)C3CCCCC3)=O
FEZQZQTWDYTJPE-HVXXBKQBNA-N,CHEMBL599965,1509,N,4.62,chembl20,603779,9606,CTSD,998,C=1(N)N(C(=O)C(C=2C=CC=CC2)(C3CCCCC3)N1)C
QWEOCJPATDOXQJ-DZQCGVKKNA-N,CHEMBL578410,1509,N,4.16,chembl20,597056,9606,CTSD,998,C1(=NC(C=2C=CC=CC2)(C3=CC(=CC=C3)Cl)C(N1C)=O)N
RNWLAFWLSSMCLN-HVXXBKQBNA-N,CHEMBL291784,1509,N,4.09,chembl20,592920,9606,CTSD,998,C1(C=2C=CC=CC2)(C3=CC=CC=C3)N=C(N(C1=O)C)N
NAIMLLJOOQROJZ-DZQCGVKKNA-N,CHEMBL567053,1509,N,3.69,chembl20,597065,9606,CTSD,998,C1(=NC(C=2C=CC=CC2)(C3=CC=CC=C3)C(N1CC)=O)N
SVQNYPQKWMFQJJ-ZAGNVTBPNA-N,11232421,1509,A,6.13077,pubchem,441739,9606,CTSD,998,O=C1N(C(=N[C@@]1(CC2CCCCC2)CCC3CCCCC3)N)C
UKYITZHCXATSAD-DZQCGVKKNA-N,CHEMBL566007,1509,N,4.42,chembl20,597056,9606,CTSD,998,C1(=NC(C=2C=CC=CC2)(C3=CC=C(C=C3)Cl)C(N1C)=O)N
ZMYDAPJHGNEFGQ-LILDFLRNNA-N,CHEMBL280099,1509,N,4.57,chembl20,614694,9606,CTSD,998,C1=C2OCOC2=CC=3C(=CC(=NC31)C4=CC=CC=C4F)O
BNTCTQFWBJMVDZ-DZQCGVKKNA-N,CHEMBL576628,1509,N,3.93,chembl20,597065,9606,CTSD,998,C=1(N(C(C(C=2C=CC=CC2)(C3=CC(=CC=C3)OC)N1)=O)C)N
GCJNGEZDKLVQNN-ZHLVXTBQNA-N,CHEMBL2349610,1509,N,4.01,chembl20,954242,9606,CTSD,998,C12(C(N(C(=N1)N)C)=O)CC(C)(C)OC3=C2C=C(C=C3)Br
HUKYIRBGIHBTTC-UHFFFAOYNA-N,CHEMBL1941012,1509,N,4.41,chembl20,797830,9606,CTSD,998,C1=CC=C2N=C(C3=CC=CC=N3)N(CC(C=4C=CC=CC4)=O)C2=C1
PPSJOHMGLWYWEX-NPVYFSBINA-N,CHEMBL1088572,1509,A,5.01,chembl20,614703,9606,CTSD,998,C1=C2OCOC2=CC3=C1N=C(CC3OP(O)(=O)O)C4=CC=CC=C4F
MXXWOMGUGJBKIW-YPCIICBENA-N,CHEMBL43185,1509,N,4.37,chembl20,929744,9606,CTSD,998,C(N1CCCCC1)(/C=C/C=C/C2=CC3=C(OCO3)C=C2)=O
CWDVWPCLVARJIH-QVUQFMIFNA-N,CHEMBL2349465,1509,N,4.53,chembl20,954242,9606,CTSD,998,C12(COC(=N1)N)CC(C)(C)CC=3C2=CC(=CC3)C=4C=CC=NC4F
AMVBNHDFNRVPQA-UHFFFAOYNA-N,CHEMBL1941011,1509,N,4.35,chembl20,797830,9606,CTSD,998,C1=CC=C2N=C(C3=CC=CC=N3)N(CC(C=4C=CC(=CC4F)F)=O)C2=C1
BEDDENNXVBITIQ-QVUQFMIFNA-N,CHEMBL585952,1509,N,4.56,chembl20,597056,9606,CTSD,998,C1C2CC3CC1CC(C4(C(N(C)C(=N4)N)=O)C5=CC=CC=C5)(C3)C2
KESHGUAKESOZTB-SDRQFZCRNA-N,CHEMBL2349499,1509,N,4.77,chembl20,954242,9606,CTSD,998,C12(C(N(C(=N1)N)C)=O)CC(C)(C)OC3=C2C=C(C=C3)OCC(C)C
IEVIHEIDGYLQMX-DZQCGVKKNA-N,CHEMBL2349608,1509,A,5.55,chembl20,954242,9606,CTSD,998,S1N=CC=C1C2=CC=3C4(C(N(C(=N4)N)C)=O)CC(C)(C)OC3C=C2
INXKKZAEXZKHNZ-SDRQFZCRNA-N,CHEMBL2349466,1509,N,4.22,chembl20,954242,9606,CTSD,998,C12(COC(=N1)N)CC(C)(C)CC3=C2C=C(C=C3)C4=CN=CN=C4
REQJJPAMXNTFPN-UHFFFAOYNA-N,CHEMBL1941014,1509,N,4.85,chembl20,797830,9606,CTSD,998,C1=CC=C2N=C(C3=CC=CC=N3)N(CC(C=4C=CC(=CC4)OC)=O)C2=C1
NOLNQMFTDAFHCP-UHFFFAOYNA-N,CHEMBL1941010,1509,N,4.5,chembl20,797830,9606,CTSD,998,C1=CC=C2N=C(C3=CC=CC=N3)N(CC(C=4C=CC(=CC4)F)=O)C2=C1
NXXHXFSKVSTXAG-SDRQFZCRNA-N,CHEMBL1824359,1509,N,4.48,chembl20,767495,9606,CTSD,998,C1(C2=CSC=C2)(C(N(C(=N1)N)C)=O)C3=CC=CC(=C3)C4=NC=CN=C4
WVLDNAVUCUAGDP-WAVZXACUNA-N,CHEMBL217068,1509,N,4.22,chembl20,462006,9606,CTSD,998,C1=CC=CC(C=2N(CC(N=C(N)N)=O)C(C3=CC=CC=C3)=CC2)=C1
WKKSAUFKGYEBTL-YZDNCCQLNA-N,CHEMBL1269918,1509,N,3.93,chembl20,674724,9606,CTSD,998,C1(=N[C@@](C(=O)N1C)(C2=CC=CC=C2)C3=CC=C(C=C3)OCCF)N
